Abbateggio,1816.75,20160701_0000
Acciano,2538.25,20160701_0000
Accumoli,5162.0,20160701_0000
Acquacanina,2146.0,20160701_0000
Acqualagna,22536.0,20160701_0000
Acquapendente,32751.0,20160701_0000
Acquasanta Terme,16078.75,20160701_0000
Acquasparta,21750.75,20160701_0000
Acquaviva Picena,16767.5,20160701_0000
Agugliano,13850.5,20160701_0000
Alanno,10796.5,20160701_0000
Alba Adriatica,55221.75,20160701_0000
Allerona,10723.5,20160701_0000
Allumiere,6556.0,20160701_0000
Altidona,14787.75,20160701_0000
Alviano,4710.5,20160701_0000
Amandola,25736.5,20160701_0000
Amatrice,14651.75,20160701_0000
Amelia,51337.75,20160701_0000
Ancarano,10546.25,20160701_0000
Ancona,357154.75,20160701_0000
Anghiari,48033.75,20160701_0000
Antrodoco,9514.25,20160701_0000
Apecchio,13187.25,20160701_0000
Apiro,13676.5,20160701_0000
Appignano,17122.5,20160701_0000
Appignano del Tronto,10320.25,20160701_0000
Arcevia,29121.75,20160701_0000
Arezzo,523381.5,20160701_0000
Ari,4233.5,20160701_0000
Arielli,5074.75,20160701_0000
Arlena di Castro,159.0,20160701_0000
Arquata del Tronto,5503.5,20160701_0000
Arrone,10261.5,20160701_0000
Arsita,3704.75,20160701_0000
Ascoli Piceno,180916.0,20160701_0000
Ascrea,1017.75,20160701_0000
Assisi,163066.0,20160701_0000
Atri,33442.5,20160701_0000
Attigliano,3984.0,20160701_0000
Avigliano Umbro,11252.0,20160701_0000
Badia Tedalda,8550.75,20160701_0000
Bagnoregio,11731.25,20160701_0000
Barbara,5697.75,20160701_0000
Barbarano Romano,9088.75,20160701_0000
Barchi,5118.0,20160701_0000
Barete,4924.25,20160701_0000
Barisciano,12408.75,20160701_0000
Baschi,11505.5,20160701_0000
Basciano,5713.25,20160701_0000
Bassano Romano,13903.5,20160701_0000
Bassano in Teverina,3365.5,20160701_0000
Bastia Umbra,86286.25,20160701_0000
Belforte all'Isauro,3109.0,20160701_0000
Belforte del Chienti,9563.0,20160701_0000
Bellante,15487.75,20160701_0000
Belmonte Piceno,4728.25,20160701_0000
Belmonte in Sabina,2789.0,20160701_0000
Belvedere Ostrense,10278.75,20160701_0000
Bettona,28075.25,20160701_0000
Bevagna,33285.5,20160701_0000
Bibbiena,12912.25,20160701_0000
Bisenti,7124.0,20160701_0000
Blera,13685.5,20160701_0000
Bolognano,4995.25,20160701_0000
Bolognola,2767.75,20160701_0000
Bolsena,23183.75,20160701_0000
Bomarzo,9730.0,20160701_0000
Borbona,3040.5,20160701_0000
Borgo Pace,5390.75,20160701_0000
Borgo Velino,4906.75,20160701_0000
Borgorose,10443.25,20160701_0000
Bracciano,7001.0,20160701_0000
Brittoli,2076.75,20160701_0000
Bucchianico,28065.5,20160701_0000
Bussi sul Tirino,4457.25,20160701_0000
Cagli,67980.5,20160701_0000
Cagnano Amiterno,6555.5,20160701_0000
Calascio,2653.0,20160701_0000
Calcata,2896.75,20160701_0000
Caldarola,10181.75,20160701_0000
Calvi dell'Umbria,6900.0,20160701_0000
Camerano,32944.75,20160701_0000
Camerata Picena,14481.75,20160701_0000
Camerino,46818.0,20160701_0000
Campagnano di Roma,1704.0,20160701_0000
Campello sul Clitunno,17114.5,20160701_0000
Campli,18836.75,20160701_0000
Campofilone,6256.75,20160701_0000
Camporotondo di Fiastrone,2120.75,20160701_0000
Campotosto,2134.75,20160701_0000
Canale Monterano,1010.0,20160701_0000
Canepina,12905.25,20160701_0000
Cannara,24390.0,20160701_0000
Canosa Sannita,3735.0,20160701_0000
Cantalice,9617.5,20160701_0000
Cantalupo in Sabina,3689.5,20160701_0000
Cantiano,13781.5,20160701_0000
Canzano,4379.25,20160701_0000
Capena,3023.75,20160701_0000
Capestrano,3083.0,20160701_0000
Capitignano,1556.75,20160701_0000
Capodimonte,10053.5,20160701_0000
Capolona,19494.25,20160701_0000
Caporciano,1109.75,20160701_0000
Cappelle sul Tavo,12726.25,20160701_0000
Capranica,22591.25,20160701_0000
Caprarola,15103.0,20160701_0000
Caprese Michelangelo,13892.25,20160701_0000
Caramanico Terme,6883.75,20160701_0000
Carapelle Calvisio,742.0,20160701_0000
Carassai,6065.25,20160701_0000
Carbognano,7092.5,20160701_0000
Carpegna,2277.75,20160701_0000
Carpineto della Nora,3178.25,20160701_0000
Carsoli,270.0,20160701_0000
Cartoceto,6491.0,20160701_0000
Casacanditella,5070.75,20160701_0000
Casalincontrada,7603.25,20160701_0000
