Abbateggio,1855.25,20160715_0000
Acciano,2985.25,20160715_0000
Accumoli,6216.75,20160715_0000
Acquacanina,2506.25,20160715_0000
Acqualagna,20804.25,20160715_0000
Acquapendente,33855.5,20160715_0000
Acquasanta Terme,16743.0,20160715_0000
Acquasparta,22598.5,20160715_0000
Acquaviva Picena,15708.25,20160715_0000
Agugliano,13682.0,20160715_0000
Alanno,10926.25,20160715_0000
Alba Adriatica,68158.25,20160715_0000
Allerona,10971.5,20160715_0000
Allumiere,7264.25,20160715_0000
Altidona,16540.75,20160715_0000
Alviano,4859.0,20160715_0000
Amandola,25742.75,20160715_0000
Amatrice,17176.75,20160715_0000
Amelia,53278.25,20160715_0000
Ancarano,10505.25,20160715_0000
Ancona,356884.75,20160715_0000
Anghiari,48682.75,20160715_0000
Antrodoco,9887.0,20160715_0000
Apecchio,13692.25,20160715_0000
Apiro,14074.25,20160715_0000
Appignano,15975.0,20160715_0000
Appignano del Tronto,10083.25,20160715_0000
Arcevia,29493.5,20160715_0000
Arezzo,508169.25,20160715_0000
Ari,4194.75,20160715_0000
Arielli,5411.75,20160715_0000
Arlena di Castro,157.25,20160715_0000
Arquata del Tronto,6658.5,20160715_0000
Arrone,10010.0,20160715_0000
Arsita,3856.75,20160715_0000
Ascoli Piceno,166306.75,20160715_0000
Ascrea,1220.0,20160715_0000
Assisi,157811.0,20160715_0000
Atri,33694.25,20160715_0000
Attigliano,3985.75,20160715_0000
Avigliano Umbro,12606.25,20160715_0000
Badia Tedalda,8689.25,20160715_0000
Bagnoregio,12193.5,20160715_0000
Barbara,5451.25,20160715_0000
Barbarano Romano,9164.25,20160715_0000
Barchi,5343.75,20160715_0000
Barete,4835.0,20160715_0000
Barisciano,13056.25,20160715_0000
Baschi,11773.5,20160715_0000
Basciano,5752.25,20160715_0000
Bassano Romano,15016.25,20160715_0000
Bassano in Teverina,3611.75,20160715_0000
Bastia Umbra,85923.5,20160715_0000
Belforte all'Isauro,3035.25,20160715_0000
Belforte del Chienti,9600.25,20160715_0000
Bellante,15558.5,20160715_0000
Belmonte Piceno,4656.5,20160715_0000
Belmonte in Sabina,3021.5,20160715_0000
Belvedere Ostrense,10070.5,20160715_0000
Bettona,28789.5,20160715_0000
Bevagna,32093.75,20160715_0000
Bibbiena,13404.5,20160715_0000
Bisenti,7193.25,20160715_0000
Blera,13411.5,20160715_0000
Bolognano,4981.75,20160715_0000
Bolognola,3012.75,20160715_0000
