Abbateggio,1574.5,20171011_0000
Acciano,2105.25,20171011_0000
Accumoli,1729.25,20171011_0000
Acquacanina,1564.5,20171011_0000
Acqualagna,22636.75,20171011_0000
Acquapendente,37750.0,20171011_0000
Acquasanta Terme,14118.0,20171011_0000
Acquasparta,22207.5,20171011_0000
Acquaviva Picena,18084.75,20171011_0000
Agugliano,21056.0,20171011_0000
Alanno,10893.0,20171011_0000
Alba Adriatica,32116.0,20171011_0000
Allerona,11581.5,20171011_0000
Allumiere,6204.0,20171011_0000
Altidona,13709.0,20171011_0000
Alviano,4490.5,20171011_0000
Amandola,22343.0,20171011_0000
Amatrice,9918.0,20171011_0000
Amelia,54325.25,20171011_0000
Ancarano,11318.5,20171011_0000
Ancona,373404.0,20171011_0000
Anghiari,46916.25,20171011_0000
Antrodoco,9127.5,20171011_0000
Apecchio,13827.0,20171011_0000
Apiro,12035.5,20171011_0000
Appignano,26654.75,20171011_0000
Appignano del Tronto,9568.0,20171011_0000
Arcevia,25976.5,20171011_0000
Arezzo,561458.0,20171011_0000
Ari,4159.5,20171011_0000
Arielli,5198.75,20171011_0000
Arlena di Castro,128.5,20171011_0000
Arquata del Tronto,2704.0,20171011_0000
Arrone,11057.75,20171011_0000
Arsita,4828.5,20171011_0000
Ascoli Piceno,195985.0,20171011_0000
Ascrea,712.5,20171011_0000
Assisi,173922.5,20171011_0000
Atri,43794.25,20171011_0000
Attigliano,4632.75,20171011_0000
Avigliano Umbro,12619.0,20171011_0000
Badia Tedalda,7006.75,20171011_0000
Bagnoregio,12350.5,20171011_0000
Barbara,6316.0,20171011_0000
Barbarano Romano,9199.75,20171011_0000
Barchi,4575.0,20171011_0000
Barete,4665.5,20171011_0000
Barisciano,13136.25,20171011_0000
Baschi,11305.5,20171011_0000
Basciano,5991.0,20171011_0000
Bassano Romano,17411.75,20171011_0000
Bassano in Teverina,4255.5,20171011_0000
Bastia Umbra,93496.75,20171011_0000
Belforte all'Isauro,4986.25,20171011_0000
Belforte del Chienti,10532.0,20171011_0000
Bellante,18731.75,20171011_0000
Belmonte Piceno,4293.25,20171011_0000
Belmonte in Sabina,3417.5,20171011_0000
Belvedere Ostrense,11547.0,20171011_0000
Bettona,27334.0,20171011_0000
Bevagna,28926.0,20171011_0000
Bibbiena,14225.25,20171011_0000
Bisenti,5533.25,20171011_0000
Blera,14090.0,20171011_0000
Bolognano,5559.5,20171011_0000
Bolognola,2238.75,20171011_0000
Bolsena,17987.75,20171011_0000
Bomarzo,9823.75,20171011_0000
Borbona,3091.75,20171011_0000
Borgo Pace,5414.5,20171011_0000
Borgo Velino,4936.0,20171011_0000
Borgorose,11268.0,20171011_0000
Bracciano,7139.25,20171011_0000
Brittoli,2185.25,20171011_0000
Bucchianico,28849.75,20171011_0000
Bussi sul Tirino,4472.5,20171011_0000
Cagli,64966.75,20171011_0000
Cagnano Amiterno,5943.0,20171011_0000
Calascio,2283.0,20171011_0000
Calcata,2982.5,20171011_0000
Caldarola,10659.25,20171011_0000
Calvi dell'Umbria,10056.25,20171011_0000
Camerano,29919.5,20171011_0000
Camerata Picena,17365.0,20171011_0000
Camerino,39257.0,20171011_0000
Campagnano di Roma,2075.25,20171011_0000
Campello sul Clitunno,21268.75,20171011_0000
Campli,20986.75,20171011_0000
Campofilone,4468.75,20171011_0000
Camporotondo di Fiastrone,2230.25,20171011_0000
Campotosto,709.0,20171011_0000
