Abbateggio,1799.75,20170730_0000
Acciano,3720.0,20170730_0000
Accumoli,2321.75,20170730_0000
Acquacanina,1969.5,20170730_0000
Acqualagna,24760.5,20170730_0000
Acquapendente,37621.0,20170730_0000
Acquasanta Terme,15855.75,20170730_0000
Acquasparta,23993.75,20170730_0000
Acquaviva Picena,18618.75,20170730_0000
Agugliano,15021.25,20170730_0000
Alanno,12514.25,20170730_0000
Alba Adriatica,106216.75,20170730_0000
Allerona,14029.25,20170730_0000
Allumiere,10467.0,20170730_0000
Altidona,23946.0,20170730_0000
Alviano,3461.0,20170730_0000
Amandola,29161.5,20170730_0000
Amatrice,12307.0,20170730_0000
Amelia,54538.75,20170730_0000
Ancarano,10507.25,20170730_0000
Ancona,338103.5,20170730_0000
Anghiari,45012.0,20170730_0000
Antrodoco,12681.25,20170730_0000
Apecchio,15467.25,20170730_0000
Apiro,13771.5,20170730_0000
Appignano,17182.5,20170730_0000
Appignano del Tronto,9939.25,20170730_0000
Arcevia,26816.5,20170730_0000
Arezzo,511799.5,20170730_0000
Ari,4211.5,20170730_0000
Arielli,6098.5,20170730_0000
Arlena di Castro,168.5,20170730_0000
Arquata del Tronto,2007.5,20170730_0000
Arrone,13779.25,20170730_0000
Arsita,3518.75,20170730_0000
Ascoli Piceno,166850.75,20170730_0000
Ascrea,2071.0,20170730_0000
Assisi,177436.25,20170730_0000
Atri,41866.75,20170730_0000
Attigliano,4731.5,20170730_0000
Avigliano Umbro,13976.5,20170730_0000
Badia Tedalda,14594.0,20170730_0000
Bagnoregio,14566.25,20170730_0000
Barbara,5715.5,20170730_0000
Barbarano Romano,9414.0,20170730_0000
Barchi,5062.25,20170730_0000
Barete,4471.5,20170730_0000
Barisciano,12926.25,20170730_0000
Baschi,17219.75,20170730_0000
Basciano,6090.0,20170730_0000
Bassano Romano,18505.75,20170730_0000
Bassano in Teverina,4873.5,20170730_0000
Bastia Umbra,77550.75,20170730_0000
Belforte all'Isauro,3612.5,20170730_0000
Belforte del Chienti,12870.0,20170730_0000
Bellante,16867.0,20170730_0000
Belmonte Piceno,4344.5,20170730_0000
Belmonte in Sabina,3703.0,20170730_0000
Belvedere Ostrense,10771.5,20170730_0000
Bettona,25574.0,20170730_0000
Bevagna,30488.0,20170730_0000
Bibbiena,14750.0,20170730_0000
Bisenti,6100.75,20170730_0000
Blera,14361.75,20170730_0000
Bolognano,4772.25,20170730_0000
Bolognola,2221.25,20170730_0000
Bolsena,34716.75,20170730_0000
Bomarzo,9735.0,20170730_0000
Borbona,4404.5,20170730_0000
Borgo Pace,7358.5,20170730_0000
Borgo Velino,6019.25,20170730_0000
Borgorose,16146.25,20170730_0000
Bracciano,8457.25,20170730_0000
Brittoli,2386.0,20170730_0000
Bucchianico,28154.75,20170730_0000
Bussi sul Tirino,5521.0,20170730_0000
Cagli,70001.75,20170730_0000
Cagnano Amiterno,6902.25,20170730_0000
Calascio,3917.25,20170730_0000
