Comune,Cratere Centro Italia 2016,Variaz
Città della Pieve,0,-0.9146373495635747
Città di Castello,0,45.45683445653765
Civita Castellana,0,3.4707709812703844
Civitanova Marche,0,4.264599498759668
Civitaquana,0,16.26426960014365
Civitella Casanova,0,1.4150237705858877
Civitella San Paolo,0,9.989540592007089
Civitella d'Agliano,0,-15.956564899917172
Civitella del Tronto,1,-16.72063339272832
Collalto Sabino,0,-4.4385769970317845
Collazzone,0,-3.2328964799472204
Colle di Tora,0,-13.521989938271602
Collecorvino,0,1.5569512860735266
Colledara,0,-15.95939077396814
Collegiove,0,-14.342787702931089
Collepietro,0,4.379404817700908
Collevecchio,0,-13.1189059097047
Colli del Tronto,1,19.348363788634764
Colli sul Velino,0,-6.451560474884591
Colmurano,1,7.838293455407552
Colonnella,0,-12.91359312835728
Comunanza,1,-14.797180462118789
Concerviano,0,-22.113907861261513
Configni,0,81.2131154503894
Contigliano,0,-3.5005750679960377
Controguerra,0,1.8144709513847253
Corchiano,0,-6.384223578927601
Corciano,0,5.681000361828917
Corfinio,0,-9.137606792589475
Corinaldo,0,-13.57553037730427
Corridonia,1,-3.273965486253899
Corropoli,0,19.331666085388996
Cortino,1,-6.763869971613319
Cortona,0,-2.4818700430372833
Corvara,0,-1.4708508339751953
Cossignano,1,-13.456538539209916
Costacciaro,0,20.477242862047618
Cottanello,0,-15.462343481261504
Crecchio,0,-8.862124973219053
Crognaleto,1,-20.225108692781603
Cugnoli,0,11.245522372521886
Cupra Marittima,0,-13.281242450850412
Cupramontana,0,-7.822752831783926
Deruta,0,1.24915043873043
Elice,0,0.43352074408303054
Esanatoglia,1,2.4518997464320944
Fabriano,1,4.068180115412315
Fabrica di Roma,0,22.164500739305755
Fabro,0,20.471960168236254
Fagnano Alto,0,-18.329366455435615
Falconara Marittima,0,-7.385165530081113
Faleria,0,-13.490031775024894
Falerone,1,2.747953695111949
Fano,0,-18.665181202303152
Fano Adriano,0,-26.63648280719916
Fara Filiorum Petri,0,3.264022853129669
Fara in Sabina,0,-17.088984844132625
Farindola,0,45.63060837000389
Ferentillo,1,-14.618975623678132
Fermignano,0,4.700857047618688
Fermo,0,-8.557714547941151
Fiamignano,0,26.601908562777698
Fiano Romano,0,25.52082229378258
Fiastra,1,-30.981870033183352
Ficulle,0,-2.3257464797994056
Filacciano,0,-8.973029276869035
Filetto,0,3.174809194983387
Filottrano,0,17.83438700476417
Fiordimonte,1,-41.73906037140313
Fiuminata,1,-8.293641897750744
Foiano della Chiana,0,-28.408228817494052
Folignano,1,3.2188127724168076
Foligno,0,-2.0929829573007908
Fontecchio,0,-15.64220448432135
Forano,0,-11.547641435439774
Force,1,-22.107217672328428
Fossa,0,-9.250594694888587
Fossato di Vico,0,4.846333373387813
Fossombrone,0,-9.152947638244878
Francavilla al Mare,0,1.3218425842887933
Francavilla d'Ete,0,2.990244373423545
Frasso Sabino,0,-28.543411035921608
Fratta Todina,0,-12.838853245400125
Fratte Rosa,0,-7.258445418966497
Frisa,0,-5.575292616107777
Frontino,0,124.56255752459381
Frontone,0,-3.016125527025732
Gagliole,1,7.811513201900936
Gallese,0,8.053051516348681
Genga,0,-7.418559608084554
Giano dell'Umbria,0,-6.978804914444421
Giove,0,-0.8635603407710697
