"SP_ID","assoc_comuni"
"593 1","Loreto"
"594 1","Osimo"
"595 1","Potenza Picena"
"596 1","Loreto"
"597 1","Castelfidardo"
"598 1","Numana"
"599 1","Castelfidardo"
"600 1","Sirolo"
"601 1","Loreto"
"602 1","Sirolo"
"603 1","Potenza Picena"
"604 1","Porto Recanati"
"605 1","Civitanova Marche"
"606 1","Numana"
"607 1","Osimo"
"608 1","Fiastra"
"609 1","Pieve Torina"
"610 1","Camerino"
"611 1","Belforte del Chienti"
"612 1","Acquacanina"
"613 1","Acquacanina"
"614 1","Camerino"
"615 1","San Ginesio"
"616 1","Pievebovigliana"
"617 1","Camerino"
"618 1","Pievebovigliana"
"619 1","Fiastra"
"620 1","Fiastra"
"621 1","Muccia"
"622 1","Serrapetrona"
"623 1","Camerino"
"624 1","Muccia"
"625 1","Pievebovigliana"
"626 1","Cessapalombo"
"627 1","Sarnano"
"628 1","Loro Piceno"
"629 1","Sarnano"
"630 1","Gualdo"
"631 1","San Ginesio"
"632 1","San Ginesio"
"633 1","Gualdo"
"634 1","Gualdo"
"635 1","Gualdo"
"636 1","Gualdo"
"637 1","Monte San Martino"
"638 1","Sarnano"
"639 1","Sarnano"
"640 1","Sarnano"
"641 1","Sarnano"
"642 1","Sarnano"
"643 1","Sarnano"
"644 1","Montappone"
"645 1","Loro Piceno"
"853 1","Fabriano"
"862 1","Serra San Quirico"
"867 1","Macerata"
"868 1","Macerata"
"869 1","Macerata"
"870 1","Macerata"
"871 1","Macerata"
"872 1","Macerata"
"873 1","Macerata"
"874 1","Macerata"
"875 1","Macerata"
"876 1","Macerata"
"877 1","Macerata"
"878 1","Macerata"
"879 1","Macerata"
"880 1","Macerata"
"881 1","Fermo"
"882 1","Montottone"
"883 1","Montottone"
"884 1","Monsampietro Morico"
"885 1","Petritoli"
"886 1","Monte Vidon Corrado"
"887 1","Petritoli"
"888 1","Petritoli"
"889 1","Monteleone di Fermo"
"890 1","Monsampietro Morico"
"891 1","Petritoli"
"892 1","Carassai"
"893 1","Ortezzano"
"894 1","Carassai"
"895 1","Carassai"
"896 1","Petritoli"
"897 1","Monsampietro Morico"
"898 1","Falconara Marittima"
"899 1","Falconara Marittima"
"900 1","Falconara Marittima"
"901 1","Falconara Marittima"
"902 1","Falconara Marittima"
"903 1","Falconara Marittima"
"904 1","Falconara Marittima"
"905 1","Falconara Marittima"
"906 1","Falconara Marittima"
"907 1","Falconara Marittima"
"908 1","Falconara Marittima"
"909 1","Falconara Marittima"
"910 1","Falconara Marittima"
"911 1","Falconara Marittima"
"912 1","Falconara Marittima"
"913 1","Falconara Marittima"
"914 1","Falconara Marittima"
"1098 1","Castelraimondo"
"1099 1","Matelica"
"1100 1","Matelica"
"1101 1","Matelica"
"1102 1","Pieve Torina"
"1103 1","Muccia"
"1104 1","Castelraimondo"
"1106 1","Serravalle di Chienti"
"1111 1","Matelica"
"1114 1","Matelica"
"1117 1","Matelica"
"1118 1","Matelica"
"1119 1","Matelica"
"1120 1","Matelica"
"1123 1","Matelica"
"1124 1","Camerino"
"1125 1","Camerino"
"1129 1","Monte Cavallo"
"1136 1","Matelica"
"1137 1","Muccia"
"1138 1","Muccia"
"1139 1","Matelica"
"1140 1","Matelica"
"1144 1","Pieve Torina"
"1146 1","Matelica"
"1147 1","Matelica"
"1154 1","Castelraimondo"
"1155 1","Serravalle di Chienti"
"1156 1","Castelraimondo"
"1159 1","Camerino"
"1160 1","Matelica"
"1162 1","Castelraimondo"
"1198 1","Macerata"
"1199 1","Macerata"
"1558 1","Ancona"
"1559 1","Ancona"
"1560 1","Ancona"
"1561 1","Ancona"
"1562 1","Ancona"
"1563 1","Ancona"
"1564 1","Ancona"
"1565 1","Ancona"
"1566 1","Ancona"
"1567 1","Ancona"
"1568 1","Ancona"
"1569 1","Ancona"
"1570 1","Ancona"
"1571 1","Ancona"
"1572 1","Ancona"
"1573 1","Ancona"
"1574 1","Ancona"
"1575 1","Ancona"
"1576 1","Ancona"
"1577 1","Ancona"
"1578 1","Ancona"
"1579 1","Ancona"
"1580 1","Ancona"
"1581 1","Ancona"
"1582 1","Ancona"
"1583 1","Ancona"
"1584 1","Ancona"
"1585 1","Ancona"
"1586 1","Ancona"
"1587 1","Ancona"
"1588 1","Ancona"
"1589 1","Ancona"
"1590 1","Ancona"
"1591 1","Ancona"
"1592 1","Ancona"
"1593 1","Ancona"
"1594 1","Ancona"
"1595 1","Ancona"
"1596 1","Ancona"
"1597 1","Ancona"
"1598 1","Ancona"
"1599 1","Ancona"
"1600 1","Ancona"
"1601 1","Ancona"
"1602 1","Ancona"
"1603 1","Ancona"
"1604 1","Ancona"
"1605 1","Ancona"
"1606 1","Ancona"
"1617 1","Macerata"
"1618 1","Macerata"
"1712 1","Macerata"
"1713 1","Macerata"
"1714 1","Macerata"
"1715 1","Macerata"
"1716 1","Macerata"
"1717 1","Macerata"
"1718 1","Macerata"
"1719 1","Macerata"
"1720 1","Macerata"
"1721 1","Ancona"
"1722 1","Ancona"
"1723 1","Ancona"
"1724 1","Ancona"
"1725 1","Macerata"
"1726 1","Macerata"
"1727 1","Macerata"
"1738 1","Macerata"
"1753 1","Gagliole"
"1754 1","Gagliole"
"1755 1","Montecosaro"
"1756 1","Montecosaro"
"1757 1","Montelupone"
"1758 1","Montelupone"
"1767 1","Grottammare"
"1772 1","Grottammare"
"1778 1","Porto San Giorgio"
"1779 1","Porto San Giorgio"
"1792 1","Ancona"
"1793 1","Ancona"
"1794 1","Ancona"
"1795 1","Ancona"
"1796 1","Ancona"
"1797 1","Ancona"
"1798 1","Ancona"
"1799 1","Ancona"
"1800 1","Ancona"
"1809 1","Poggio San Marcello"
"1822 1","Fabriano"
"1826 1","Fabriano"
"1867 1","Ancona"
"1868 1","Macerata"
"1869 1","Macerata"
"1870 1","Macerata"
"1871 1","Macerata"
"1875 1","Serra de' Conti"
"1876 1","Barbara"
"1878 1","Corinaldo"
"1879 1","Corinaldo"
"1882 1","Ostra Vetere"
"1884 1","Rosora"
"1886 1","Serra de' Conti"
"1888 1","Serra San Quirico"
"1890 1","Corinaldo"
"1891 1","Corinaldo"
"1894 1","Serra de' Conti"
"1900 1","Serra San Quirico"
"1904 1","Fabriano"
"1917 1","Ostra Vetere"
"1918 1","Ostra Vetere"
"1919 1","Ostra Vetere"
"1920 1","Ostra Vetere"
"1931 1","Corinaldo"
"1940 1","Fabriano"
"1943 1","Arcevia"
"1944 1","Barbara"
"1947 1","Serra San Quirico"
"1948 1","Serra de' Conti"
"1951 1","Serra San Quirico"
"1961 1","Fabriano"
"1971 1","Rosora"
"1973 1","Fabriano"
"1982 1","Montecarotto"
"1989 1","Corinaldo"
"1998 1","Fabriano"
"2001 1","Fabriano"
"2004 1","Fabriano"
"2005 1","Serra de' Conti"
"2007 1","Serra de' Conti"
"2008 1","Serra San Quirico"
"2013 1","Arcevia"
"2014 1","Fabriano"
"2017 1","Mondavio"
"2022 1","Rosora"
"2027 1","Serra San Quirico"
"2029 1","Serra San Quirico"
"2030 1","Barbara"
"2035 1","Poggio San Marcello"
"2114 1","Mergo"
"2115 1","Mergo"
"2116 1","Rosora"
"2119 1","Fabriano"
"2120 1","Fabriano"
