comune,data,n_abitanti
Acquacanina,2016-09-16,6089.714285714285
Acquacanina,2016-09-17,6159.142857142857
Acquacanina,2016-09-18,6388.857142857143
Acquacanina,2016-09-19,6370.285714285715
Acquacanina,2016-09-20,5970.285714285715
Acquacanina,2016-09-21,5941.428571428572
Acquacanina,2016-09-22,5952.0
Acquacanina,2016-09-23,5943.571428571428
Acquacanina,2016-09-24,6217.142857142857
Acquacanina,2016-09-25,6877.714285714285
Acquacanina,2016-09-26,6289.857142857143
Agugliano,2016-09-16,69107.57142857143
Agugliano,2016-09-17,69001.14285714286
Agugliano,2016-09-18,67714.57142857143
Agugliano,2016-09-19,68458.85714285714
Agugliano,2016-09-20,69636.42857142857
Agugliano,2016-09-21,68870.42857142857
Agugliano,2016-09-22,68553.14285714286
Agugliano,2016-09-23,68478.85714285714
Agugliano,2016-09-24,68385.57142857143
Agugliano,2016-09-25,65780.85714285714
Agugliano,2016-09-26,67929.14285714286
Altidona,2016-09-16,51325.28571428572
Altidona,2016-09-17,51686.142857142855
Altidona,2016-09-18,51640.57142857143
Altidona,2016-09-19,50578.57142857143
Altidona,2016-09-20,49968.0
Altidona,2016-09-21,50109.28571428572
Altidona,2016-09-22,49098.142857142855
Altidona,2016-09-23,49596.857142857145
Altidona,2016-09-24,51047.0
Altidona,2016-09-25,50516.0
Altidona,2016-09-26,49410.71428571428
Amandola,2016-09-16,34308.857142857145
Amandola,2016-09-17,34605.28571428572
Amandola,2016-09-18,33105.57142857143
Amandola,2016-09-19,33822.71428571428
Amandola,2016-09-20,33863.28571428572
Amandola,2016-09-21,33671.57142857143
Amandola,2016-09-22,33807.142857142855
Amandola,2016-09-23,33768.142857142855
Amandola,2016-09-24,34315.142857142855
Amandola,2016-09-25,34134.71428571428
Amandola,2016-09-26,33601.28571428572
Ancona,2016-09-16,2016286.5714285714
Ancona,2016-09-17,1991448.0
Ancona,2016-09-18,1909464.857142857
Ancona,2016-09-19,1943863.7142857143
Ancona,2016-09-20,2034742.2857142857
Ancona,2016-09-21,2041840.2857142857
Ancona,2016-09-22,2036642.7142857143
Ancona,2016-09-23,2011496.857142857
Ancona,2016-09-24,1977456.4285714286
Ancona,2016-09-25,1903185.857142857
Ancona,2016-09-26,1949592.4285714286
Apiro,2016-09-16,56698.28571428572
Apiro,2016-09-17,57003.142857142855
Apiro,2016-09-18,56593.0
Apiro,2016-09-19,56589.857142857145
Apiro,2016-09-20,57190.57142857143
Apiro,2016-09-21,57197.57142857143
Apiro,2016-09-22,56848.71428571428
Apiro,2016-09-23,57098.57142857143
Apiro,2016-09-24,56945.142857142855
Apiro,2016-09-25,57793.71428571428
Apiro,2016-09-26,57249.857142857145
Appignano,2016-09-16,71823.0
Appignano,2016-09-17,71330.28571428571
Appignano,2016-09-18,67544.14285714286
Appignano,2016-09-19,70334.42857142857
Appignano,2016-09-20,72982.71428571429
Appignano,2016-09-21,72050.14285714286
Appignano,2016-09-22,71744.14285714286
Appignano,2016-09-23,69732.28571428571
Appignano,2016-09-24,69432.28571428571
Appignano,2016-09-25,66876.57142857143
