COMUNE,2015-04,2015-05,2015-09,2016-04,2016-05,2016-08,2016-09,2016-10,2017-04,2017-05,2017-09,2017-10,2018-04
Acquacanina,0,-0.9599369260966318,-30.342173173914862,29.949597692339005,-0.45117654707528476,88.30242417759861,-1.4676653368035122,-4.686993690545722,-15.99220657528932,-20.326267102294892,-19.73887073771286,-17.78060766422228,-14.359546704477982
Agugliano,0,-1.9593576481609045,-3.707272592920409,3.2875445463833386,4.444729419804932,-15.535084902400834,2.892491220717173,1.5449661144313362,0.42008018059792207,2.945311577549726,-1.503210273500746,18.100355550203588,4.494959585194038
Altidona,0,14.98958322121022,6.476447712026494,34.89196976529358,37.95437699571409,141.10378405696272,44.191973085998086,36.118180795787694,78.11270164066583,50.26135666434438,53.43853914930935,55.89328378512298,64.98765625013532
Amandola,0,-2.4540034651159024,-37.80205917915486,25.990547846887335,31.369558276235658,45.941406675997904,36.66930127141488,33.827382790622195,24.057430893968498,25.57983114102812,9.765764445398247,11.4204881521301,17.512178504067922
Ancona,0,0.3104063349912674,-6.416684516317329,5.176917951231063,6.38292721396448,-4.826363504582617,4.911319095331258,7.160299508103946,4.238586664077914,8.530102960934311,5.453117220189461,2.409258012847789,0.743055097039151
Apiro,0,2.0006558712215785,-8.7658726683396,16.88630933533263,18.040519801426274,27.828461923801463,21.296365108645567,14.602168795393315,7.0722477789752425,3.4909256873593684,-0.21756469545225,-3.2619509323234555,-8.243252340328478
Appignano,0,5.490550034665647,-2.715272131601529,-3.288755492823599,0.032234045859094236,-19.11464650707968,-5.192666017186917,0.8254795033780129,6.145361150355165,6.280565064930714,43.65927700580128,37.100754743680525,1.3165907662567573
Arcevia,0,14.678971289083867,10.996668933843464,14.537688100191446,13.610461435087664,16.51779754196333,16.922654029994888,11.441607275640543,26.877674651906137,19.227068916301235,14.430051722173372,15.089647459880966,11.045174378787703
Barbara,0,3.9576881716082744,1.070592259586566,16.136798256701283,14.956903870566068,15.506655812553383,11.73857440483409,6.631656114987693,19.585829755465177,17.534586058846816,20.168126113451418,23.761963286086605,13.883537808610786
Belforte del Chienti,0,-5.9427427974732785,-17.137277434560232,10.95512224760918,12.983595022710597,6.2819704900294076,11.95898419556006,15.769296557143297,25.524032324445535,18.59398820287705,18.393472965735715,17.425741390990883,11.817570348393795
Belmonte Piceno,0,2.5554494675957695,-4.086327752231686,1.3411179210290922,1.8553698890064005,1.7094821332816454,5.503567407456778,1.6311717890493398,-0.8244069275017292,-2.929112967524211,-7.7736394219156875,-4.6921080905908665,3.4563936840898988
Belvedere Ostrense,0,-5.5753261800382425,39.68396590431287,-5.403364841505324,-1.4283214019386132,-3.387062250572891,48.250705288857866,46.04368695059189,9.283726379662307,5.615710447222542,3.7462755639817282,2.438441953208071,4.962108514178408
Bolognola,0,-10.672565720487832,-21.639432599324234,-9.807417876406314,-11.040490075240527,33.582257167359025,-12.226586213874414,-18.89107599477546,-30.13990323589468,-34.43404036130171,-33.5634393568682,-26.756378888500514,-21.008135727294462
Caldarola,0,0.3389722063210852,-13.821778896189404,4.098651435099027,7.020366239729617,3.901179579917382,6.357124236036273,15.647651324203782,12.4696847898815,6.7816222610807495,7.042011452904331,3.736487907608985,-0.6268036259589024
Camerano,0,3.70488737231923,-6.396840654899434,10.562147203630854,13.193455482407607,12.301660936555706,16.10768584126921,14.501650181432888,16.792902851941278,19.927401965295218,12.784553704887387,11.633493087144993,10.727367933671063
Camerata Picena,0,-10.43384854267041,-23.288999233474712,-3.9086603321210682,-4.393660063075429,-14.78085871666323,-5.364489005040595,-0.1674853927470285,4.178065593278145,6.2412089150907395,3.246782692290224,1.8489830551014437,7.799470568149011
Camerino,0,13.14164603437491,2.9818066945907025,13.070725750813953,20.609464637180338,5.800584982891789,10.220753659610832,17.856052358778797,-13.199908208894396,-5.763331164717742,-10.489511697812116,-10.97899295217756,-14.211632391596856
Campofilone,0,4.93412311780337,11.561966183727714,12.687191612712637,17.235068961154,86.87506106186437,18.914099076300143,12.872326964443866,28.537897001138813,26.157550930026584,17.01157788181707,7.7278406934075825,16.269751202075184
Camporotondo di Fiastrone,0,-2.1498269643367305,-1.612868406544128,0.7249595055269649,13.601898410463173,19.87702900129401,12.840176157611893,9.75210399410148,27.092037702511483,20.523657063906942,16.232472251190643,11.33450018930965,11.004578304449765
