LOC2011,COD_REG,COD_ISTAT,PRO_COM,CENTRO_CL,"ALTITUDINE
(in metri slm)",DENOMINAZIONE,SEZ2011,SEZ,COD_STAGNO,COD_FIUME,COD_LAGO,COD_LAGUNA,COD_VAL_P,COD_ZONA_C,COD_IS_AMM,COD_IS_LAC,COD_IS_MAR,COD_AREA_S,COD_MONT_D,COD_LOC,TIPO_LOC,COM_ASC,COD_ASC,ACE,Shape_Leng,Shape_Area,geometry
4302310001,11,11043023,43023,1,309,Macerata,430230000043,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001.0,1.0,0.0,0,1,83.4211171447,397.748811756,"POLYGON ((861542.4681966247 4803826.828120543, 861536.4724443408 4803826.640727892, 861523.8114478169 4803829.02282115, 861528.198720957 4803837.395849762, 861525.2990499607 4803843.365704741, 861528.7029236003 4803844.216694603, 861542.9528146518 4803849.216640627, 861545.9527811492 4803839.466715847, 861548.9527552268 4803837.466728948, 861551.6220316647 4803835.178844683, 861548.0892555679 4803830.762783525, 861542.4681966247 4803826.828120543))"
4302310001,11,11043023,43023,1,309,Macerata,430238888888,8888888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001.0,1.0,0.0,0,1,47.0089512239,137.666156727,"POLYGON ((861218.5545475426 4803789.190538048, 861218.0253406009 4803777.760630177, 861206.0663364513 4803778.078139289, 861205.8559487853 4803788.978952119, 861218.5545475426 4803789.190538048))"
4302310001,11,11043023,43023,1,309,Macerata,430230000013,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001.0,1.0,0.0,0,1,479.59905915,5253.49181279,"POLYGON ((861270.2048457493 4803697.968118879, 861272.5416175928 4803688.261694402, 861273.4548065899 4803684.468223915, 861253.4549573334 4803675.218317552, 861234.4551015545 4803667.468398193, 861211.4552748022 4803656.718506777, 861208.9553067464 4803668.968411024, 861199.9553771837 4803667.468431818, 861192.8055350906 4803668.270432357, 861180.8632259925 4803663.656380982, 861152.3645465178 4803656.328167493, 861152.3270393915 4803648.728328447, 861152.7057309826 4803643.21867224, 861153.3767218194 4803639.326902782, 861143.950593055 4803635.157745384, 861135.2653592629 4803631.900679955, 861130.9524897982 4803627.886916331, 861127.9559133307 4803627.468822603, 861095.2061659466 4803618.218928657, 861088.206247516 4803644.468725068, 861083.7062925046 4803653.718655309, 861090.9562370238 4803656.218628207, 861098.956175308 4803658.468602378, 861102.9561462812 4803661.468574435, 861127.6807491677 4803661.898546897, 861126.5800607398 4803664.742125178, 861133.0940147967 4803670.984668792, 861193.3484490532 4803686.998181717, 861240.6242818992 4803697.787849158, 861242.2050660254 4803694.468174226, 861268.2048700352 4803706.468052696, 861270.2048457493 4803697.968118879))"
4302310001,11,11043023,43023,1,309,Macerata,430230000255,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001.0,1.0,0.0,0,2,462.702610187,6593.01280459,"POLYGON ((860009.7148319978 4803611.470038791, 860001.9648968393 4803614.470022272, 859975.4651236602 4803629.969923767, 859942.2154126854 4803653.969763682, 859986.2150942583 4803687.969448415, 860010.7149155616 4803705.469284344, 860101.2142558456 4803770.468675419, 860083.3292771896 4803748.35337006, 860056.7778478462 4803705.779737108, 860010.0840428763 4803625.668024624, 860009.7148319978 4803611.470038791))"
4302310001,11,11043023,43023,1,309,Macerata,430230000025,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001.0,1.0,0.0,0,1,318.045446747,2523.92908796,"POLYGON ((861025.9569441023 4803848.467150602, 861021.3151785902 4803845.810976413, 861030.8063938741 4803836.707140137, 861033.9568718895 4803839.967210936, 861056.2067134299 4803859.717030967, 861060.9566701107 4803854.217070421, 861054.9567116945 4803847.717128363, 861035.7068483862 4803830.217287377, 861028.2069031751 4803824.967336764, 861016.4569833711 4803810.967460419, 860998.9571026674 4803789.967645783, 860994.9571390185 4803794.46761361, 860990.039583107 4803799.385178984, 860983.9572376392 4803805.467536158, 860982.9572563706 4803816.467448965, 860980.9572767431 4803820.967414846, 860977.9573065687 4803826.967369679, 860975.4573309355 4803831.467336045, 861036.4568787778 4803867.46698809, 861048.956785023 4803873.716925818, 861025.9569441023 4803848.467150602))"
4302310001,11,11043023,43023,1,309,Macerata,430230000062,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001.0,1.0,0.0,0,1,419.650070123,3326.26466664,"POLYGON ((860970.5960209016 4803576.629783415, 860983.6635135685 4803573.63059473, 860996.3002127885 4803573.817780918, 861016.4919518373 4803574.199958186, 861051.3976794749 4803580.87457068, 861051.02677483 4803573.086133474, 861084.7062139341 4803581.469233461, 861094.2061404764 4803583.969204167, 861096.8864101886 4803574.886274361, 861047.7156917718 4803563.347914756, 861048.9548783118 4803559.704142758, 861048.9569743888 4803555.705374808, 861039.4565495753 4803554.969489963, 861011.9567624524 4803547.969572862, 860992.7069116132 4803543.219629689, 860985.2069761747 4803547.969598917, 860974.957063684 4803553.719562809, 860962.7071664396 4803558.719534664, 860953.2072474675 4803563.969501834, 860940.7073534408 4803570.219463909, 860936.957416847 4803604.469193024, 860932.7074617876 4803615.719106986, 860939.5338979452 4803606.192376703, 860951.9587846595 4803591.83947965, 860957.1000385617 4803586.698215853, 860970.5960209016 4803576.629783415))"
4302310001,11,11043023,43023,1,309,Macerata,430230000228,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001.0,1.0,0.0,0,2,1063.89113457,35933.78125,"POLYGON ((860045.4647808708 4803852.218074332, 859969.7153268771 4803791.468634838, 859955.2154359038 4803784.468705027, 859952.215460358 4803784.968703935, 859947.965494799 4803785.468704052, 859944.9655194969 4803786.218700954, 859928.4656625164 4803797.718624803, 859920.2157320781 4803801.468602756, 859915.9657660322 4803801.468606885, 859905.9658439761 4803799.468632624, 859901.4658777367 4803797.218655031, 859760.966907025 4803701.469558919, 859753.9669590581 4803697.469597776, 859751.716975088 4803695.469615994, 859749.216992142 4803692.469642467, 859739.2170666838 4803686.969696258, 859729.2171431727 4803683.469734021, 859722.4671953989 4803681.719754598, 859717.9672325682 4803682.969748947, 859716.2172501991 4803686.719720587, 859715.9672575492 4803692.219676742, 859718.7172426335 4803699.469615961, 859720.4672315714 4803702.469590213, 859722.2172209957 4803705.969560463, 859730.4671633554 4803714.469484322, 859739.7170991856 4803724.469395189, 859742.2170835913 4803728.969356691, 859744.2170724787 4803733.96931467, 859745.2170688689 4803738.469277631, 859745.7170692538 4803742.969241075, 859742.4671027616 4803750.719182109, 859737.7171429007 4803752.969168686, 859733.7171753445 4803753.469168561, 859726.9672278127 4803751.969187135, 859699.7174333581 4803739.469313775, 859695.2174673639 4803737.469334174, 859672.2176472272 4803733.46938856, 859669.717675715 4803742.219320848, 859648.7178777885 4803777.469058679, 859654.7178320419 4803779.719034824, 859890.2160501285 4803881.967986664, 859991.7152852674 4803929.217509383, 860009.9651058721 4803894.717768175, 860015.4650514631 4803883.967848994, 860022.9649822937 4803874.467917852, 860027.9649360183 4803867.967965094, 860045.4647808708 4803852.218074332))"
4302310001,11,11043023,43023,1,309,Macerata,430230000210,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001.0,1.0,0.0,0,2,1828.53755895,84639.6875,"POLYGON ((860225.2134476642 4803957.717054093, 860212.9635506409 4803962.967023921, 860199.7136618498 4803968.466992719, 860186.9637690643 4803973.966961027, 860178.213842375 4803977.466941478, 860166.2139416486 4803980.966925088, 860155.7140289391 4803984.466907239, 860144.7141192493 4803986.966897888, 860134.464202594 4803988.466895828, 860125.2142774627 4803989.466896798, 860116.2143488729 4803988.966909551, 860094.964518631 4803988.966930198, 860072.4647017836 4803992.466924004, 860008.9651808173 4803963.467218118, 859910.9659206261 4803919.217667953, 859875.9661853889 4803903.967824169, 859871.2162204155 4803900.967852825, 859857.2163288526 4803897.467894471, 859841.2164493741 4803889.967970118, 859828.7165433948 4803883.968030345, 859809.9666868607 4803877.468100647, 859768.217011154 4803867.968217317, 859732.9672840079 4803858.96832367, 859715.4674177339 4803852.71839075, 859696.7175636364 4803848.718441006, 859667.9677826189 4803837.718557075, 859627.4680881791 4803819.218744657, 859609.4682604398 4803848.468527676, 859625.9681376191 4803857.718437525, 859618.7182040527 4803866.468374426, 859673.4677880593 4803888.468144965, 859669.7178272617 4803897.968072461, 859754.2171753111 4803921.717800096, 859751.2172104697 4803933.217710836, 859786.4669371365 4803941.717608491, 859780.2170121286 4803967.467408173, 859769.4671401007 4804010.717071966, 859726.2174770935 4804001.967184075, 859719.2175660998 4804035.966918365, 859672.9679219488 4804021.967075455, 859668.2179781375 4804040.716929788, 859694.4677742763 4804046.716856227, 859702.9677090499 4804049.466825938, 859716.7176023698 4804052.716786544, 859739.2174284677 4804058.716716619, 859763.7172398058 4804065.966634735, 859782.7170967846 4804074.966544161, 859792.4670206003 4804076.716520671, 859798.7169731061 4804079.216494566, 859804.9669268285 4804082.966458446, 859820.2168125489 4804090.716381528, 859845.7166244199 4804106.716228542, 859868.9664506168 4804118.96610779, 859887.7163098413 4804128.216015453, 859932.7159769018 4804155.465753365, 859953.7158179129 4804164.465660843, 859959.9657728559 4804169.465614703, 859969.4657006206 4804173.215575421, 859976.9656424132 4804174.965554113, 859987.7155572715 4804175.715537663, 860006.9654090999 4804181.465472884, 860028.7152368195 4804182.965439737, 860040.2151500698 4804188.215386492, 860055.4649992753 4804158.465610103, 860061.9649371253 4804147.965687942, 860090.9646591988 4804100.466040451, 860098.714587548 4804090.466113067, 860106.2145183813 4804080.96618192, 860147.9641444362 4804039.466473958, 860163.7140030287 4804023.46658689, 860219.2135060716 4803968.466973766, 860224.4634590149 4803963.217010741, 860225.2134476642 4803957.717054093))"
4302310001,11,11043023,43023,1,309,Macerata,430230000042,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001.0,1.0,0.0,0,1,86.6182470427,435.22829012,"POLYGON ((861525.2990499607 4803843.365704741, 861528.198720957 4803837.395849762, 861523.8114478169 4803829.02282115, 861518.4529864133 4803824.716860891, 861513.7030233815 4803823.71687354, 861501.9531165163 4803822.966891011, 861499.9531388507 4803829.466840864, 861501.2031430457 4803843.96672343, 861505.7031036734 4803840.466747092, 861511.7030564747 4803841.216735228, 861516.4530182835 4803840.966732599, 861520.7029855546 4803842.216718433, 861525.2990499607 4803843.365704741))"
4302310001,11,11043023,43023,1,309,Macerata,430230000153,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001.0,1.0,0.0,0,1,376.474560055,5877.1901,"POLYGON ((861295.7045547869 4803608.718809399, 861304.176027467 4803547.710090171, 861312.9543580741 4803548.469275525, 861320.9542159524 4803468.469908993, 861305.9543318894 4803464.46995568, 861279.2045414621 4803460.220015828, 861278.2045650911 4803476.219888546, 861268.2046938597 4803526.219497502, 861266.7047236816 4803544.469352677, 861263.2047851211 4803578.719081548, 861261.2048282225 4803606.468861062, 861272.9547333695 4803605.468857626, 861284.4546402693 4803604.218856436, 861295.7045547869 4803608.718809399))"
