comune,data,n_abitanti
Acquacanina,2016-05-16,6046.714285714285
Acquacanina,2016-05-17,6028.857142857143
Acquacanina,2016-05-18,6020.857142857143
Acquacanina,2016-05-19,6081.142857142857
Acquacanina,2016-05-20,6012.571428571428
Acquacanina,2016-05-21,6234.285714285715
Acquacanina,2016-05-22,7275.857142857143
Acquacanina,2016-05-23,7037.571428571428
Acquacanina,2016-05-24,6003.571428571428
Acquacanina,2016-05-25,5981.857142857143
Acquacanina,2016-05-26,6180.285714285715
Agugliano,2016-05-16,69373.71428571429
Agugliano,2016-05-17,70104.42857142857
Agugliano,2016-05-18,70345.28571428571
Agugliano,2016-05-19,70075.14285714286
Agugliano,2016-05-20,70363.28571428571
Agugliano,2016-05-21,68068.28571428571
Agugliano,2016-05-22,65364.57142857143
Agugliano,2016-05-23,69352.71428571429
Agugliano,2016-05-24,70448.0
Agugliano,2016-05-25,69720.42857142857
Agugliano,2016-05-26,70044.14285714286
Altidona,2016-05-16,46880.57142857143
Altidona,2016-05-17,47787.0
Altidona,2016-05-18,48962.0
Altidona,2016-05-19,46942.28571428572
Altidona,2016-05-20,47280.57142857143
Altidona,2016-05-21,49577.28571428572
Altidona,2016-05-22,50710.71428571428
Altidona,2016-05-23,48682.42857142857
Altidona,2016-05-24,48155.57142857143
Altidona,2016-05-25,47849.42857142857
Altidona,2016-05-26,48141.0
Amandola,2016-05-16,31591.14285714286
Amandola,2016-05-17,32343.571428571428
Amandola,2016-05-18,32332.714285714286
Amandola,2016-05-19,32499.571428571428
Amandola,2016-05-20,32250.85714285714
Amandola,2016-05-21,33212.57142857143
Amandola,2016-05-22,33588.57142857143
Amandola,2016-05-23,32891.857142857145
Amandola,2016-05-24,32772.57142857143
Amandola,2016-05-25,32608.85714285714
Amandola,2016-05-26,32447.14285714286
Ancona,2016-05-16,1950041.142857143
Ancona,2016-05-17,2052981.857142857
Ancona,2016-05-18,2056658.0
Ancona,2016-05-19,2058521.4285714286
Ancona,2016-05-20,2025553.7142857143
Ancona,2016-05-21,1971289.142857143
Ancona,2016-05-22,1894791.4285714286
Ancona,2016-05-23,1965804.7142857143
Ancona,2016-05-24,2054921.7142857143
Ancona,2016-05-25,2051366.7142857143
Ancona,2016-05-26,2040107.0
Apiro,2016-05-16,55688.57142857143
Apiro,2016-05-17,55641.28571428572
Apiro,2016-05-18,55753.57142857143
Apiro,2016-05-19,55714.42857142857
Apiro,2016-05-20,56069.28571428572
Apiro,2016-05-21,55594.857142857145
Apiro,2016-05-22,53880.57142857143
Apiro,2016-05-23,55745.28571428572
Apiro,2016-05-24,55261.57142857143
Apiro,2016-05-25,55663.42857142857
Apiro,2016-05-26,55360.0
Appignano,2016-05-16,73691.14285714286
Appignano,2016-05-17,75354.28571428571
Appignano,2016-05-18,75461.71428571429
Appignano,2016-05-19,73918.85714285714
Appignano,2016-05-20,74749.28571428571
Appignano,2016-05-21,74715.42857142857
Appignano,2016-05-22,71635.85714285714
Appignano,2016-05-23,71813.42857142857
Appignano,2016-05-24,74190.71428571429
Appignano,2016-05-25,74430.42857142857
Appignano,2016-05-26,73992.71428571429
Arcevia,2016-05-16,12607.42857142857
Arcevia,2016-05-17,12628.57142857143
Arcevia,2016-05-18,12533.42857142857
Arcevia,2016-05-19,12646.0
Arcevia,2016-05-20,12557.714285714286
Arcevia,2016-05-21,12728.42857142857
Arcevia,2016-05-22,12137.857142857143
Arcevia,2016-05-23,12607.57142857143
Arcevia,2016-05-24,12547.285714285714
Arcevia,2016-05-25,12573.857142857143
Arcevia,2016-05-26,12595.0
Barbara,2016-05-16,21979.285714285714
Barbara,2016-05-17,21995.571428571428
Barbara,2016-05-18,22521.14285714286
Barbara,2016-05-19,22611.571428571428
Barbara,2016-05-20,22580.714285714286
Barbara,2016-05-21,21527.14285714286
Barbara,2016-05-22,21604.428571428572
Barbara,2016-05-23,22399.0
Barbara,2016-05-24,22181.285714285714
Barbara,2016-05-25,22098.714285714286
Barbara,2016-05-26,22230.14285714286
Belforte del Chienti,2016-05-16,39077.42857142857
Belforte del Chienti,2016-05-17,39422.857142857145
Belforte del Chienti,2016-05-18,39723.71428571428
Belforte del Chienti,2016-05-19,40165.28571428572
Belforte del Chienti,2016-05-20,39565.857142857145
Belforte del Chienti,2016-05-21,39559.71428571428
Belforte del Chienti,2016-05-22,38260.142857142855
Belforte del Chienti,2016-05-23,38467.142857142855
Belforte del Chienti,2016-05-24,39191.0
Belforte del Chienti,2016-05-25,39289.71428571428
Belforte del Chienti,2016-05-26,39455.857142857145
Belmonte Piceno,2016-05-16,17182.285714285714
Belmonte Piceno,2016-05-17,17766.285714285714
