comune,data,n_abitanti
Acquacanina,2017-09-16,5057.142857142857
Acquacanina,2017-09-17,5171.142857142857
Acquacanina,2017-09-18,5134.714285714285
Acquacanina,2017-09-19,5079.571428571428
Acquacanina,2017-09-20,5053.142857142857
Acquacanina,2017-09-21,4956.857142857143
Acquacanina,2017-09-22,4943.0
Acquacanina,2017-09-23,5021.428571428572
Acquacanina,2017-09-24,5190.857142857143
Acquacanina,2017-09-25,4936.285714285715
Acquacanina,2017-09-26,5009.285714285715
Agugliano,2017-09-16,66071.28571428571
Agugliano,2017-09-17,64165.0
Agugliano,2017-09-18,66374.14285714286
Agugliano,2017-09-19,67334.85714285714
Agugliano,2017-09-20,67203.42857142857
Agugliano,2017-09-21,65995.71428571429
Agugliano,2017-09-22,66168.71428571429
Agugliano,2017-09-23,65804.0
Agugliano,2017-09-24,62088.142857142855
Agugliano,2017-09-25,67782.28571428571
Agugliano,2017-09-26,60806.142857142855
Altidona,2017-09-16,56590.42857142857
Altidona,2017-09-17,56537.28571428572
Altidona,2017-09-18,54436.142857142855
Altidona,2017-09-19,52076.71428571428
Altidona,2017-09-20,52608.857142857145
Altidona,2017-09-21,52835.71428571428
Altidona,2017-09-22,52966.57142857143
Altidona,2017-09-23,54008.71428571428
Altidona,2017-09-24,54493.0
Altidona,2017-09-25,52032.0
Altidona,2017-09-26,51980.0
Amandola,2017-09-16,27913.714285714286
Amandola,2017-09-17,27747.714285714286
Amandola,2017-09-18,27069.14285714286
Amandola,2017-09-19,27860.85714285714
Amandola,2017-09-20,27332.571428571428
Amandola,2017-09-21,27519.14285714286
Amandola,2017-09-22,27148.14285714286
Amandola,2017-09-23,27295.285714285714
Amandola,2017-09-24,27155.428571428572
Amandola,2017-09-25,25903.0
Amandola,2017-09-26,26632.428571428572
Ancona,2017-09-16,1987099.142857143
Ancona,2017-09-17,1916148.857142857
Ancona,2017-09-18,1932282.142857143
Ancona,2017-09-19,2036936.7142857143
Ancona,2017-09-20,2041814.5714285714
Ancona,2017-09-21,2040034.7142857143
Ancona,2017-09-22,2035751.0
Ancona,2017-09-23,2011989.0
Ancona,2017-09-24,1980058.857142857
Ancona,2017-09-25,1886468.7142857143
Ancona,2017-09-26,2060101.7142857143
Apiro,2017-09-16,46556.142857142855
Apiro,2017-09-17,47517.71428571428
Apiro,2017-09-18,46195.57142857143
Apiro,2017-09-19,46878.57142857143
Apiro,2017-09-20,46764.57142857143
Apiro,2017-09-21,47206.142857142855
Apiro,2017-09-22,47077.28571428572
Apiro,2017-09-23,48530.42857142857
Apiro,2017-09-24,48596.28571428572
Apiro,2017-09-25,44736.857142857145
Apiro,2017-09-26,45903.0
Appignano,2017-09-16,109578.0
Appignano,2017-09-17,103922.85714285714
Appignano,2017-09-18,107557.14285714286
Appignano,2017-09-19,109275.71428571429
Appignano,2017-09-20,109776.57142857143
Appignano,2017-09-21,110632.71428571429
Appignano,2017-09-22,109254.0
Appignano,2017-09-23,110160.0
Appignano,2017-09-24,105182.0
Appignano,2017-09-25,92786.14285714286
Appignano,2017-09-26,100818.28571428571
Arcevia,2017-09-16,12667.57142857143
Arcevia,2017-09-17,12386.57142857143
Arcevia,2017-09-18,12318.142857142857
Arcevia,2017-09-19,12503.285714285714
Arcevia,2017-09-20,12475.857142857143
Arcevia,2017-09-21,12634.142857142857
Arcevia,2017-09-22,12595.42857142857
Arcevia,2017-09-23,13024.857142857143
Arcevia,2017-09-24,13206.57142857143
Arcevia,2017-09-25,12589.142857142857
Arcevia,2017-09-26,12758.285714285714
Barbara,2017-09-16,23201.571428571428
Barbara,2017-09-17,23453.85714285714
Barbara,2017-09-18,23158.85714285714
Barbara,2017-09-19,23102.14285714286
Barbara,2017-09-20,23013.85714285714
Barbara,2017-09-21,23145.85714285714
Barbara,2017-09-22,23212.14285714286
Barbara,2017-09-23,23234.14285714286
Barbara,2017-09-24,23504.428571428572
Barbara,2017-09-25,22451.285714285714
Barbara,2017-09-26,23299.571428571428
Belforte del Chienti,2017-09-16,41010.0
Belforte del Chienti,2017-09-17,41150.142857142855
Belforte del Chienti,2017-09-18,41415.71428571428
Belforte del Chienti,2017-09-19,39871.142857142855
Belforte del Chienti,2017-09-20,41796.0
Belforte del Chienti,2017-09-21,40614.142857142855
Belforte del Chienti,2017-09-22,40976.57142857143
Belforte del Chienti,2017-09-23,41407.71428571428
Belforte del Chienti,2017-09-24,42080.57142857143
Belforte del Chienti,2017-09-25,40682.71428571428
Belforte del Chienti,2017-09-26,41867.57142857143
Belmonte Piceno,2017-09-16,15988.857142857143
Belmonte Piceno,2017-09-17,16264.857142857143
Belmonte Piceno,2017-09-18,16195.0
Belmonte Piceno,2017-09-19,16598.14285714286
Belmonte Piceno,2017-09-20,16278.142857142857
Belmonte Piceno,2017-09-21,17176.85714285714
Belmonte Piceno,2017-09-22,16332.142857142857
Belmonte Piceno,2017-09-23,16261.142857142857
Belmonte Piceno,2017-09-24,15733.57142857143
Belmonte Piceno,2017-09-25,13425.714285714286
