comune,data,n_abitanti
Acquacanina,2015-05-16,6288.714285714285
Acquacanina,2015-05-17,6987.428571428572
Acquacanina,2015-05-18,6385.714285714285
Acquacanina,2015-05-19,6107.0
Acquacanina,2015-05-20,6102.571428571428
Acquacanina,2015-05-21,5989.285714285715
Acquacanina,2015-05-22,6101.142857142857
Acquacanina,2015-05-23,6066.0
Acquacanina,2015-05-24,6521.857142857143
Acquacanina,2015-05-25,6196.857142857143
Acquacanina,2015-05-26,5804.857142857143
Agugliano,2015-05-16,64248.142857142855
Agugliano,2015-05-17,63311.0
Agugliano,2015-05-18,65621.28571428571
Agugliano,2015-05-19,66027.14285714286
Agugliano,2015-05-20,65849.57142857143
Agugliano,2015-05-21,66731.57142857143
Agugliano,2015-05-22,64320.42857142857
Agugliano,2015-05-23,64838.57142857143
Agugliano,2015-05-24,63729.28571428572
Agugliano,2015-05-25,66583.85714285714
Agugliano,2015-05-26,65199.42857142857
Altidona,2015-05-16,41500.57142857143
Altidona,2015-05-17,40599.42857142857
Altidona,2015-05-18,40640.42857142857
Altidona,2015-05-19,39986.857142857145
Altidona,2015-05-20,40604.57142857143
Altidona,2015-05-21,40865.857142857145
Altidona,2015-05-22,40429.0
Altidona,2015-05-23,39893.42857142857
Altidona,2015-05-24,40899.0
Altidona,2015-05-25,40754.28571428572
Altidona,2015-05-26,36406.857142857145
Amandola,2015-05-16,24840.428571428572
Amandola,2015-05-17,25329.428571428572
Amandola,2015-05-18,24092.285714285714
Amandola,2015-05-19,23847.714285714286
Amandola,2015-05-20,24082.14285714286
Amandola,2015-05-21,24182.428571428572
Amandola,2015-05-22,23956.285714285714
Amandola,2015-05-23,24222.714285714286
Amandola,2015-05-24,24582.0
Amandola,2015-05-25,24041.714285714286
Amandola,2015-05-26,23049.571428571428
Ancona,2015-05-16,1900440.7142857143
Ancona,2015-05-17,1819126.2857142857
Ancona,2015-05-18,1844126.5714285714
Ancona,2015-05-19,1953182.0
Ancona,2015-05-20,1953704.142857143
Ancona,2015-05-21,1957044.4285714286
Ancona,2015-05-22,1928152.4285714286
Ancona,2015-05-23,1904418.2857142857
Ancona,2015-05-24,1844016.5714285714
Ancona,2015-05-25,1850431.7142857143
Ancona,2015-05-26,1904629.7142857143
Apiro,2015-05-16,47704.142857142855
Apiro,2015-05-17,48262.28571428572
Apiro,2015-05-18,47536.857142857145
Apiro,2015-05-19,48020.857142857145
Apiro,2015-05-20,47453.0
Apiro,2015-05-21,46978.57142857143
Apiro,2015-05-22,47661.857142857145
Apiro,2015-05-23,49177.28571428572
Apiro,2015-05-24,50100.0
Apiro,2015-05-25,48243.857142857145
Apiro,2015-05-26,46294.0
Appignano,2015-05-16,79162.57142857143
Appignano,2015-05-17,76543.71428571429
Appignano,2015-05-18,76709.28571428571
Appignano,2015-05-19,78840.42857142857
Appignano,2015-05-20,80965.71428571429
Appignano,2015-05-21,79910.42857142857
Appignano,2015-05-22,77691.85714285714
Appignano,2015-05-23,80021.28571428571
Appignano,2015-05-24,74802.0
Appignano,2015-05-25,76416.28571428571
Appignano,2015-05-26,77304.14285714286
Arcevia,2015-05-16,12790.714285714286
Arcevia,2015-05-17,12524.42857142857
Arcevia,2015-05-18,12856.857142857143
Arcevia,2015-05-19,12575.857142857143
Arcevia,2015-05-20,12704.857142857143
Arcevia,2015-05-21,12577.857142857143
Arcevia,2015-05-22,12592.285714285714
Arcevia,2015-05-23,12774.57142857143
Arcevia,2015-05-24,12523.57142857143
Arcevia,2015-05-25,12790.285714285714
