comune,data,n_abitanti
Belvedere Ostrense,2017-10-25,43725.28571428572
Belvedere Ostrense,2017-10-26,43932.142857142855
Bolognola,2017-10-16,2038.4285714285713
Bolognola,2017-10-17,1901.2857142857142
Bolognola,2017-10-18,1871.4285714285713
Bolognola,2017-10-19,1921.5714285714287
Bolognola,2017-10-20,2076.714285714286
Bolognola,2017-10-21,2187.714285714286
Bolognola,2017-10-22,2182.8571428571427
Bolognola,2017-10-23,2129.4285714285716
Bolognola,2017-10-24,2144.4285714285716
Bolognola,2017-10-25,2160.714285714286
Bolognola,2017-10-26,2136.5714285714284
Caldarola,2017-10-16,40751.57142857143
Caldarola,2017-10-17,38466.0
Caldarola,2017-10-18,39433.857142857145
Caldarola,2017-10-19,39077.857142857145
Caldarola,2017-10-20,40495.28571428572
Caldarola,2017-10-21,39968.0
Caldarola,2017-10-22,38598.0
Caldarola,2017-10-23,39312.142857142855
Caldarola,2017-10-24,39720.0
Caldarola,2017-10-25,39701.0
Caldarola,2017-10-26,39916.71428571428
Camerano,2017-10-16,111342.85714285714
Camerano,2017-10-17,115116.42857142857
Camerano,2017-10-18,112888.0
Camerano,2017-10-19,113658.71428571429
Camerano,2017-10-20,119876.71428571429
Camerano,2017-10-21,119553.71428571429
Camerano,2017-10-22,114748.14285714286
Camerano,2017-10-23,116103.71428571429
Camerano,2017-10-24,119702.28571428571
Camerano,2017-10-25,119127.71428571429
Camerano,2017-10-26,120317.71428571429
Camerata Picena,2017-10-16,58934.42857142857
Camerata Picena,2017-10-17,59839.857142857145
Camerata Picena,2017-10-18,59252.0
Camerata Picena,2017-10-19,58411.0
Camerata Picena,2017-10-20,65600.57142857143
Camerata Picena,2017-10-21,64734.857142857145
Camerata Picena,2017-10-22,63080.0
Camerata Picena,2017-10-23,65354.857142857145
Camerata Picena,2017-10-24,65112.142857142855
Camerata Picena,2017-10-25,64406.857142857145
Camerata Picena,2017-10-26,65127.0
Camerino,2017-10-16,128296.0
Camerino,2017-10-17,131327.7142857143
Camerino,2017-10-18,132635.57142857142
Camerino,2017-10-19,130679.28571428571
Camerino,2017-10-20,152834.2857142857
Camerino,2017-10-21,141041.57142857142
Camerino,2017-10-22,139130.2857142857
Camerino,2017-10-23,141139.14285714287
Camerino,2017-10-24,148463.85714285713
Camerino,2017-10-25,151360.2857142857
Camerino,2017-10-26,148710.7142857143
Campofilone,2017-10-16,18168.0
Campofilone,2017-10-17,17663.285714285714
Campofilone,2017-10-18,17804.571428571428
Campofilone,2017-10-19,17777.85714285714
Campofilone,2017-10-20,17995.285714285714
Campofilone,2017-10-21,18146.85714285714
Campofilone,2017-10-22,17709.85714285714
Campofilone,2017-10-23,17356.285714285714
Campofilone,2017-10-24,17036.85714285714
Campofilone,2017-10-25,17251.714285714286
Campofilone,2017-10-26,17689.0
Camporotondo di Fiastrone,2017-10-16,8433.857142857143
Camporotondo di Fiastrone,2017-10-17,8107.571428571428
Camporotondo di Fiastrone,2017-10-18,8201.57142857143
Camporotondo di Fiastrone,2017-10-19,8376.57142857143
Camporotondo di Fiastrone,2017-10-20,8770.714285714286
Camporotondo di Fiastrone,2017-10-21,8597.857142857143
Camporotondo di Fiastrone,2017-10-22,8464.42857142857
Camporotondo di Fiastrone,2017-10-23,9237.142857142857
Camporotondo di Fiastrone,2017-10-24,9102.0
Camporotondo di Fiastrone,2017-10-25,9187.714285714286
Camporotondo di Fiastrone,2017-10-26,9298.142857142857
Carassai,2017-10-16,18929.85714285714
Carassai,2017-10-17,18736.428571428572
Carassai,2017-10-18,18386.714285714286
Carassai,2017-10-19,18239.285714285714
Carassai,2017-10-20,18411.85714285714
Carassai,2017-10-21,19078.285714285714
Carassai,2017-10-22,19226.85714285714
Carassai,2017-10-23,18883.714285714286
Carassai,2017-10-24,18532.85714285714
Carassai,2017-10-25,18901.714285714286
Carassai,2017-10-26,18959.0
Castelbellino,2017-10-16,50279.857142857145
Castelbellino,2017-10-17,51014.142857142855
Castelbellino,2017-10-18,50377.142857142855
Castelbellino,2017-10-19,50473.857142857145
Castelbellino,2017-10-20,51966.28571428572
Castelbellino,2017-10-21,51525.71428571428
Castelbellino,2017-10-22,51081.0
Castelbellino,2017-10-23,49089.28571428572
Castelbellino,2017-10-24,47966.142857142855
Castelbellino,2017-10-25,53189.857142857145
Castelbellino,2017-10-26,53616.57142857143
Castelfidardo,2017-10-16,250404.57142857142
Castelfidardo,2017-10-17,252284.2857142857
Castelfidardo,2017-10-18,260459.14285714287
Castelfidardo,2017-10-19,256279.2857142857
Castelfidardo,2017-10-20,275357.5714285714
Castelfidardo,2017-10-21,276817.85714285716
Castelfidardo,2017-10-22,265952.4285714286
Castelfidardo,2017-10-23,268911.71428571426
Castelfidardo,2017-10-24,274647.28571428574
Castelfidardo,2017-10-25,273966.85714285716
Castelfidardo,2017-10-26,273123.5714285714
Castelleone di Suasa,2017-10-16,3350.0
Castelleone di Suasa,2017-10-17,3356.714285714286
Castelleone di Suasa,2017-10-18,3384.5714285714284
Castelleone di Suasa,2017-10-19,3376.5714285714284
Castelleone di Suasa,2017-10-20,3588.5714285714284
Castelleone di Suasa,2017-10-21,3664.714285714286
Castelleone di Suasa,2017-10-22,3610.0
Castelleone di Suasa,2017-10-23,3633.285714285714
Castelleone di Suasa,2017-10-24,3583.1428571428573
Castelleone di Suasa,2017-10-25,3606.0
Castelleone di Suasa,2017-10-26,3562.5714285714284
Castelplanio,2017-10-16,58037.42857142857
Castelplanio,2017-10-17,58240.28571428572
Castelplanio,2017-10-18,58022.28571428572
Castelplanio,2017-10-19,57297.142857142855
Castelplanio,2017-10-20,62735.42857142857
Castelplanio,2017-10-21,62467.71428571428
Castelplanio,2017-10-22,61814.57142857143
Castelplanio,2017-10-23,63296.71428571428
Castelplanio,2017-10-24,63639.71428571428
Castelplanio,2017-10-25,62950.57142857143
Castelplanio,2017-10-26,62824.857142857145
Castelraimondo,2017-10-16,82120.42857142857
Castelraimondo,2017-10-17,83149.71428571429
Castelraimondo,2017-10-18,85261.71428571429
Castelraimondo,2017-10-19,85159.14285714286
Castelraimondo,2017-10-20,95186.14285714286
Castelraimondo,2017-10-21,95162.0
Castelraimondo,2017-10-22,93668.71428571429
Castelraimondo,2017-10-23,93384.85714285714
Castelraimondo,2017-10-24,95976.14285714286
Castelraimondo,2017-10-25,96227.85714285714
Castelraimondo,2017-10-26,96271.42857142857
Cerreto d'Esi,2017-10-16,6080.142857142857
Cerreto d'Esi,2017-10-17,6231.285714285715
Cerreto d'Esi,2017-10-18,6207.285714285715
Cerreto d'Esi,2017-10-19,6241.142857142857
Cerreto d'Esi,2017-10-20,6444.857142857143
Cerreto d'Esi,2017-10-21,6514.285714285715
Cerreto d'Esi,2017-10-22,6331.571428571428
Cerreto d'Esi,2017-10-23,6430.857142857143
Cerreto d'Esi,2017-10-24,6533.285714285715
Cerreto d'Esi,2017-10-25,6498.0
Cerreto d'Esi,2017-10-26,6617.0
Cessapalombo,2017-10-16,17805.428571428572
Cessapalombo,2017-10-17,17023.285714285714
Cessapalombo,2017-10-18,17378.285714285714
Cessapalombo,2017-10-19,17314.0
Cessapalombo,2017-10-20,18606.714285714286
Cessapalombo,2017-10-21,18468.0
Cessapalombo,2017-10-22,17653.714285714286
Cessapalombo,2017-10-23,18353.714285714286
Cessapalombo,2017-10-24,18477.285714285714
Cessapalombo,2017-10-25,18273.714285714286
Cessapalombo,2017-10-26,18045.571428571428
Chiaravalle,2017-10-16,179571.0
Chiaravalle,2017-10-17,184705.57142857142
Chiaravalle,2017-10-18,184230.85714285713
Chiaravalle,2017-10-19,184577.57142857142
Chiaravalle,2017-10-20,204286.42857142858
Chiaravalle,2017-10-21,202251.14285714287
Chiaravalle,2017-10-22,196406.0
Chiaravalle,2017-10-23,200197.57142857142
Chiaravalle,2017-10-24,204063.2857142857
Chiaravalle,2017-10-25,205468.7142857143
Chiaravalle,2017-10-26,205406.85714285713
Cingoli,2017-10-16,190260.0
Cingoli,2017-10-17,188354.14285714287
Cingoli,2017-10-18,189505.0
Cingoli,2017-10-19,196070.57142857142
Cingoli,2017-10-20,197574.14285714287
Cingoli,2017-10-21,198907.0
Cingoli,2017-10-22,194598.2857142857
Cingoli,2017-10-23,198512.57142857142
Cingoli,2017-10-24,195517.7142857143
Cingoli,2017-10-25,196429.7142857143
Cingoli,2017-10-26,194474.14285714287
Civitanova Marche,2017-10-16,537891.1428571428
Civitanova Marche,2017-10-17,539637.1428571428
Civitanova Marche,2017-10-18,551087.4285714285
Civitanova Marche,2017-10-19,544255.0
Civitanova Marche,2017-10-20,617999.7142857143
Civitanova Marche,2017-10-21,628374.2857142857
Civitanova Marche,2017-10-22,635699.5714285715
Civitanova Marche,2017-10-23,610346.1428571428
Civitanova Marche,2017-10-24,614717.1428571428
Civitanova Marche,2017-10-25,621972.8571428572
Civitanova Marche,2017-10-26,618777.1428571428
Colmurano,2017-10-16,12766.857142857143
Colmurano,2017-10-17,12851.857142857143
Colmurano,2017-10-18,13184.42857142857
Colmurano,2017-10-19,13115.57142857143
Colmurano,2017-10-20,13802.42857142857
Colmurano,2017-10-21,13413.0
Colmurano,2017-10-22,13317.42857142857
Colmurano,2017-10-23,13491.857142857143
Colmurano,2017-10-24,13567.285714285714
Colmurano,2017-10-25,13601.857142857143
Colmurano,2017-10-26,13259.857142857143
Corinaldo,2017-10-16,110640.14285714286
Corinaldo,2017-10-17,109660.42857142857
Corinaldo,2017-10-18,109764.14285714286
Corinaldo,2017-10-19,109082.0
Corinaldo,2017-10-20,112438.71428571429
Corinaldo,2017-10-21,114784.71428571429
Corinaldo,2017-10-22,112239.42857142857
Corinaldo,2017-10-23,111793.28571428571
Corinaldo,2017-10-24,113636.0
Corinaldo,2017-10-25,114669.0
Corinaldo,2017-10-26,114851.0
Corridonia,2017-10-16,257455.57142857142
Corridonia,2017-10-17,255118.14285714287
Corridonia,2017-10-18,244956.85714285713
Corridonia,2017-10-19,265368.0
Corridonia,2017-10-20,286008.0
Corridonia,2017-10-21,283515.4285714286
Corridonia,2017-10-22,281808.0
Corridonia,2017-10-23,283673.14285714284
Corridonia,2017-10-24,288974.0
Corridonia,2017-10-25,289591.5714285714
Corridonia,2017-10-26,288814.14285714284
Cossignano,2017-10-16,1818.0
Cossignano,2017-10-17,1845.4285714285713
Cossignano,2017-10-18,1776.7142857142858
Cossignano,2017-10-19,1880.2857142857142
Cossignano,2017-10-20,1860.2857142857142
Cossignano,2017-10-21,1899.0
Cossignano,2017-10-22,1981.2857142857142
Cossignano,2017-10-23,1864.2857142857142
Cossignano,2017-10-24,1857.2857142857142
Cossignano,2017-10-25,1809.857142857143
Cossignano,2017-10-26,1900.0
Cupra Marittima,2017-10-16,83479.28571428571
Cupra Marittima,2017-10-17,83836.0
Cupra Marittima,2017-10-18,84249.42857142857
Cupra Marittima,2017-10-19,82748.71428571429
Cupra Marittima,2017-10-20,93851.28571428571
Cupra Marittima,2017-10-21,93942.0
Cupra Marittima,2017-10-22,93166.71428571429
Cupra Marittima,2017-10-23,90783.28571428571
Cupra Marittima,2017-10-24,91948.28571428571
Cupra Marittima,2017-10-25,91134.28571428571
Cupra Marittima,2017-10-26,92299.0
Cupramontana,2017-10-16,52776.0
Cupramontana,2017-10-17,53231.71428571428
Cupramontana,2017-10-18,53846.0
Cupramontana,2017-10-19,54443.0
Cupramontana,2017-10-20,56028.857142857145
Cupramontana,2017-10-21,55808.71428571428
Cupramontana,2017-10-22,57179.71428571428
Cupramontana,2017-10-23,56314.57142857143
Cupramontana,2017-10-24,55462.57142857143
Cupramontana,2017-10-25,56657.57142857143
Cupramontana,2017-10-26,56124.57142857143
Fabriano,2017-10-16,42161.57142857143
Fabriano,2017-10-17,41553.28571428572
Fabriano,2017-10-18,41704.42857142857
Fabriano,2017-10-19,41059.57142857143
Fabriano,2017-10-20,45481.71428571428
Fabriano,2017-10-21,45620.142857142855
Fabriano,2017-10-22,44668.857142857145
Fabriano,2017-10-23,45229.857142857145
Fabriano,2017-10-24,45537.57142857143
Fabriano,2017-10-25,45831.142857142855
Fabriano,2017-10-26,46232.857142857145
Falconara Marittima,2017-10-16,402971.14285714284
Falconara Marittima,2017-10-17,416800.85714285716
Falconara Marittima,2017-10-18,416353.28571428574
Falconara Marittima,2017-10-19,416438.0
Falconara Marittima,2017-10-20,468063.0
Falconara Marittima,2017-10-21,459875.5714285714
Falconara Marittima,2017-10-22,443260.14285714284
Falconara Marittima,2017-10-23,451896.5714285714
Falconara Marittima,2017-10-24,465850.0
Falconara Marittima,2017-10-25,467720.14285714284
Falconara Marittima,2017-10-26,464374.85714285716
Falerone,2017-10-16,71317.71428571429
Falerone,2017-10-17,67404.0
Falerone,2017-10-18,71966.85714285714
Falerone,2017-10-19,72553.0
Falerone,2017-10-20,75890.42857142857
Falerone,2017-10-21,72729.0
Falerone,2017-10-22,71195.85714285714
Falerone,2017-10-23,65966.85714285714
Falerone,2017-10-24,64330.42857142857
Falerone,2017-10-25,63271.71428571428
Falerone,2017-10-26,70061.85714285714
Fermo,2017-10-16,585735.4285714285
Fermo,2017-10-17,601945.7142857143
Fermo,2017-10-18,602503.0
Fermo,2017-10-19,601356.8571428572
Fermo,2017-10-20,671402.0
Fermo,2017-10-21,670938.1428571428
Fermo,2017-10-22,662608.8571428572
Fermo,2017-10-23,656887.8571428572
Fermo,2017-10-24,667952.4285714285
Fermo,2017-10-25,668073.8571428572
Fermo,2017-10-26,671058.0
Fiastra,2017-10-16,23009.714285714286
Fiastra,2017-10-17,21985.14285714286
Fiastra,2017-10-18,22210.0
Fiastra,2017-10-19,22695.285714285714
Fiastra,2017-10-20,24777.714285714286
Fiastra,2017-10-21,25183.428571428572
Fiastra,2017-10-22,25154.714285714286
Fiastra,2017-10-23,24992.0
Fiastra,2017-10-24,24454.85714285714
Fiastra,2017-10-25,24954.285714285714
Fiastra,2017-10-26,24883.571428571428
Filottrano,2017-10-16,127646.42857142857
Filottrano,2017-10-17,126252.0
Filottrano,2017-10-18,125652.0
Filottrano,2017-10-19,126267.0
Filottrano,2017-10-20,129494.42857142857
Filottrano,2017-10-21,130524.28571428571
Filottrano,2017-10-22,127740.85714285714
Filottrano,2017-10-23,131205.2857142857
Filottrano,2017-10-24,129890.57142857143
Filottrano,2017-10-25,128730.71428571429
Filottrano,2017-10-26,128778.28571428571
Fiordimonte,2017-10-16,4444.857142857143
Fiordimonte,2017-10-17,4376.285714285715
Fiordimonte,2017-10-18,4401.857142857143
Fiordimonte,2017-10-19,4437.142857142857
Fiordimonte,2017-10-20,4566.142857142857
Fiordimonte,2017-10-21,4627.142857142857
Fiordimonte,2017-10-22,4612.285714285715
Fiordimonte,2017-10-23,4564.0
Fiordimonte,2017-10-24,4599.285714285715
Fiordimonte,2017-10-25,4525.0
Fiordimonte,2017-10-26,4593.857142857143
Francavilla d'Ete,2017-10-16,20350.571428571428
Francavilla d'Ete,2017-10-17,21102.0
Francavilla d'Ete,2017-10-18,18873.428571428572
Francavilla d'Ete,2017-10-19,18302.0
Francavilla d'Ete,2017-10-20,19143.0
Francavilla d'Ete,2017-10-21,21332.571428571428
Francavilla d'Ete,2017-10-22,21193.14285714286
Francavilla d'Ete,2017-10-23,21570.428571428572
Francavilla d'Ete,2017-10-24,21803.14285714286
Francavilla d'Ete,2017-10-25,21744.14285714286
Francavilla d'Ete,2017-10-26,21304.85714285714
Gagliole,2017-10-16,27941.285714285714
Gagliole,2017-10-17,27371.14285714286
Gagliole,2017-10-18,27184.285714285714
Gagliole,2017-10-19,27288.14285714286
Gagliole,2017-10-20,29473.85714285714
Gagliole,2017-10-21,29848.85714285714
Gagliole,2017-10-22,29479.571428571428
Gagliole,2017-10-23,29436.14285714286
Gagliole,2017-10-24,29805.428571428572
Gagliole,2017-10-25,29900.0
Gagliole,2017-10-26,29881.571428571428
Grottammare,2017-10-16,25940.0
Grottammare,2017-10-17,25765.571428571428
Grottammare,2017-10-18,26608.428571428572
Grottammare,2017-10-19,26829.14285714286
Grottammare,2017-10-20,27253.285714285714
Grottammare,2017-10-21,27475.714285714286
Grottammare,2017-10-22,26989.428571428572
Grottammare,2017-10-23,25743.285714285714
Grottammare,2017-10-24,25964.285714285714
Grottammare,2017-10-25,26100.14285714286
Grottammare,2017-10-26,26653.14285714286
Grottazzolina,2017-10-16,38132.857142857145
Grottazzolina,2017-10-17,39307.57142857143
Grottazzolina,2017-10-18,39869.28571428572
Grottazzolina,2017-10-19,39737.42857142857
Grottazzolina,2017-10-20,44217.28571428572
Grottazzolina,2017-10-21,43736.142857142855
Grottazzolina,2017-10-22,43243.0
Grottazzolina,2017-10-23,42666.28571428572
Grottazzolina,2017-10-24,44218.42857142857
Grottazzolina,2017-10-25,44050.28571428572
Grottazzolina,2017-10-26,43866.42857142857
Gualdo,2017-10-16,20667.285714285714
Gualdo,2017-10-17,19796.714285714286
Gualdo,2017-10-18,19743.285714285714
Gualdo,2017-10-19,19645.14285714286
Gualdo,2017-10-20,20927.571428571428
Gualdo,2017-10-21,21526.714285714286
Gualdo,2017-10-22,21625.14285714286
Gualdo,2017-10-23,21898.428571428572
Gualdo,2017-10-24,21381.571428571428
Gualdo,2017-10-25,21656.14285714286
Gualdo,2017-10-26,21367.571428571428
Jesi,2017-10-16,695335.7142857143
Jesi,2017-10-17,711063.7142857143
Jesi,2017-10-18,716541.5714285715
Jesi,2017-10-19,719217.1428571428
Jesi,2017-10-20,777512.7142857143
Jesi,2017-10-21,785381.8571428572
Jesi,2017-10-22,771455.7142857143
Jesi,2017-10-23,761511.2857142857
Jesi,2017-10-24,781965.0
Jesi,2017-10-25,780153.5714285715
Jesi,2017-10-26,779056.4285714285
Lapedona,2017-10-16,17304.571428571428
Lapedona,2017-10-17,16641.428571428572
Lapedona,2017-10-18,17182.85714285714
Lapedona,2017-10-19,17178.14285714286
Lapedona,2017-10-20,18283.571428571428
Lapedona,2017-10-21,18706.14285714286
Lapedona,2017-10-22,18629.714285714286
Lapedona,2017-10-23,18064.571428571428
Lapedona,2017-10-24,17996.14285714286
Lapedona,2017-10-25,19260.0
Lapedona,2017-10-26,18350.571428571428
Loreto,2017-10-16,217345.42857142858
Loreto,2017-10-17,220054.57142857142
Loreto,2017-10-18,216146.85714285713
Loreto,2017-10-19,212900.85714285713
Loreto,2017-10-20,236636.2857142857
Loreto,2017-10-21,239451.14285714287
Loreto,2017-10-22,236187.2857142857
Loreto,2017-10-23,229764.7142857143
Loreto,2017-10-24,233939.57142857142
Loreto,2017-10-25,234179.2857142857
Loreto,2017-10-26,232601.57142857142
Loro Piceno,2017-10-16,43151.857142857145
Loro Piceno,2017-10-17,44302.42857142857
Loro Piceno,2017-10-18,34515.28571428572
Loro Piceno,2017-10-19,33730.0
Loro Piceno,2017-10-20,34702.857142857145
Loro Piceno,2017-10-21,46314.142857142855
Loro Piceno,2017-10-22,45602.142857142855
Loro Piceno,2017-10-23,45569.857142857145
Loro Piceno,2017-10-24,44706.57142857143
Loro Piceno,2017-10-25,45249.28571428572
Loro Piceno,2017-10-26,44893.857142857145
Macerata,2017-10-16,704554.7142857143
Macerata,2017-10-17,746333.1428571428
Macerata,2017-10-18,756959.4285714285
Macerata,2017-10-19,761194.5714285715
Macerata,2017-10-20,819181.4285714285
Macerata,2017-10-21,787242.8571428572
Macerata,2017-10-22,766755.0
Macerata,2017-10-23,771414.4285714285
Macerata,2017-10-24,811246.2857142857
Macerata,2017-10-25,819335.4285714285
Macerata,2017-10-26,816015.1428571428
Magliano di Tenna,2017-10-16,32594.85714285714
Magliano di Tenna,2017-10-17,33073.28571428572
Magliano di Tenna,2017-10-18,34121.71428571428
Magliano di Tenna,2017-10-19,33812.42857142857
Magliano di Tenna,2017-10-20,38186.0
Magliano di Tenna,2017-10-21,37572.57142857143
Magliano di Tenna,2017-10-22,37544.42857142857
Magliano di Tenna,2017-10-23,36554.857142857145
Magliano di Tenna,2017-10-24,37671.42857142857
Magliano di Tenna,2017-10-25,37624.42857142857
Magliano di Tenna,2017-10-26,37043.857142857145
Maiolati Spontini,2017-10-16,97090.14285714286
Maiolati Spontini,2017-10-17,97581.71428571429
Maiolati Spontini,2017-10-18,97337.28571428571
Maiolati Spontini,2017-10-19,96887.71428571429
Maiolati Spontini,2017-10-20,103373.42857142857
Maiolati Spontini,2017-10-21,102701.57142857143
Maiolati Spontini,2017-10-22,100719.28571428571
Maiolati Spontini,2017-10-23,102093.0
Maiolati Spontini,2017-10-24,103258.85714285714
Maiolati Spontini,2017-10-25,103573.42857142857
Maiolati Spontini,2017-10-26,103648.28571428571
Massa Fermana,2017-10-16,14524.142857142857
Massa Fermana,2017-10-17,14674.0
Massa Fermana,2017-10-18,11784.714285714286
Massa Fermana,2017-10-19,10672.857142857143
Massa Fermana,2017-10-20,10209.714285714286
Massa Fermana,2017-10-21,14649.57142857143
Massa Fermana,2017-10-22,14526.714285714286
Massa Fermana,2017-10-23,15300.42857142857
Massa Fermana,2017-10-24,15024.57142857143
Massa Fermana,2017-10-25,15159.0
Massa Fermana,2017-10-26,14553.42857142857
Massignano,2017-10-16,20830.428571428572
Massignano,2017-10-17,20473.0
Massignano,2017-10-18,20973.571428571428
Massignano,2017-10-19,21005.714285714286
Massignano,2017-10-20,21967.14285714286
Massignano,2017-10-21,21863.714285714286
Massignano,2017-10-22,21775.85714285714
Massignano,2017-10-23,21406.714285714286
Massignano,2017-10-24,21217.14285714286
Massignano,2017-10-25,21019.714285714286
Massignano,2017-10-26,21384.285714285714
Matelica,2017-10-16,138048.7142857143
Matelica,2017-10-17,145016.14285714287
Matelica,2017-10-18,144057.0
Matelica,2017-10-19,149065.0
Matelica,2017-10-20,169083.42857142858
Matelica,2017-10-21,169682.42857142858
Matelica,2017-10-22,163871.2857142857
Matelica,2017-10-23,164753.14285714287
Matelica,2017-10-24,172187.57142857142
Matelica,2017-10-25,172254.14285714287
Matelica,2017-10-26,172704.42857142858
Mergo,2017-10-16,17248.0
Mergo,2017-10-17,17205.285714285714
Mergo,2017-10-18,17078.428571428572
Mergo,2017-10-19,17287.0
Mergo,2017-10-20,18345.285714285714
Mergo,2017-10-21,17818.85714285714
Mergo,2017-10-22,17492.571428571428
Mergo,2017-10-23,17666.714285714286
